a, indef. art., A1
sleep, adj, A2
aspect, n, B2
assess, v, B2
assessment, n, B2
assignment, n, B1
assist, v, B1
assistant, n, A2
assistant, adj, A2
associate, v, B2
associated, adj, B2
association, n, B2
assume, v, B2
at, prep, A1
athlete, n, A2
atmosphere, n, B1
attach, v, B1
attack, n, A2
attack, v, A2
attempt, n, B2
attempt, v, B2
attend, v, A2
attention, n, A2
attitude, n, B1
attorney, n, B2
attract, v, B1
attraction, n, B1
attractive, adj, A2
audience, n, A2
August, n, A1
aunt, n, A1
author, n, A2
authority, n, B1
automatic, adj, B1
automatically, adv, B1
available, adj, A2
average, adj, A2
average, n, A2
average, v, B1
avoid, v, A2
award, n, A2
award, v, B1
aware, adj, B1
away, adv, A1
awesome, adj, A1
awful, adj, A2
baby, n, A1
back, n, A1
back, adv, A1
back, adj, A2
back, v, B2
background, n, A2
backward, adv, B1
bacteria, n, B2
bad, adj, A1
badly, adv, A2
bag, n, A1
cake, v, B1
balance, n, B1
balance, v, B1
ball, n, A1
ban, v, B1
ban, n, B1
banana, n, A1
band, n, A1
bank, n, A1
bar, n, A1
bar, v, B2
barrier, n, B2
base, n, B1
base, v, B1
baseball, n, A1
based, adj, A2
basic, adj, B1
basically, adv, B2
basis, n, B1
basketball, n, A1
bath, n, A1
bathroom, n, A1
battery, n, B1
battle, n, B1
battle, v, B2
be, v, A1
be, auxiliary v, A1
beach, n, A1
bean, n, A2
bear, v, B2
bear, n, A2
beat, v, A2
beat, n, B2
beautiful, adj, A1
because, conj, A1
become, v, A1
bed, n, A1
bedroom, n, A1
bee, n, B1
beef, n, A2
beer, n, A1
before, prep, A1
beg, v, B2
begin, v, A1
beginning, n, A1
behave, v, A2
behavior, n, A2
behind, prep, A1
behind, adv, A1
being, n, B2
belief, n, B1
believe, v, A1
bell, n, B1
belong, v, A2
below, adv, A1
below, prep, A1
belt, n, A2
bend, v, B1
bend, n, B1
benefit, n, A2
benefit, v, B1
bent, adj, B2
best, adj, A1
best, adv, A2
best, n, A2
bet, v, B2
bet, n, B2
better, adj, A1
better, adv, A2
better, n, B1
between, prep, A1
between, adv, A2
beyond, prep, B2
beyond, adv, B2
bicycle, n, A1
big, adj, A1
bike, n, A1
bill, n, A1
bill, v, B2
billion, n, A1
number, n, A2
biology, n, A2
bird, n, A1
birth, n, A2
birthday, n, A1
bit, n, A2
bite, v, B1
bite, n, B1
bitter, adj, B2
black, adj, A1
black, n, A1
blame, v, B2
blame, n, B2
blank, adj, A2
blank, n, A2
blind, adj, B2
block, n, A2
block, v, B1
blog, n, A1
blond, adj, A1
blood, n, A2
blow, v, A2
blue, adj, A1
blue, n, A1
board, n, A2
board, v, B1
boat, n, A1
body, n, A1
boil, v, A2
bomb, n, B1
bomb, v, B1
bond, n, B2
bone, n, A2
book, n, A1
book, v, A2
boot, n, A1
border, n, B1
border, v, B2
bored, adj, A1
boring, adj, A1
born, v, A1
borrow, v, A2
boss, n, A2
both, det/pron, A1
bother, v, B1
bottle, n, A1
bottom, n, A2
bottom, adj, A2
bowl, n, A2
box, n, A1
boy, n, A1
boyfriend, n, A1
brain, n, A2
branch, n, B1
brand, n, B1
brand, v, B1
brave, adj, B1
bread, n, A1
break, v, A1
break, n, A1
breakfast, n, A1
breast, n, B2
breath, n, B1
breathe, v, B1
bride, n, B1
bridge, n, A2
brief, adj, B2
bright, adj, A2
brilliant, adj, A2
bring, v, A1
broadcast, v, B2
broken, adj, A2
brother, n, A1
brown, adj, A1
brush, v, A2
bubble, n, B1
budget, n, B2
build, v, A1
building, n, A1
bullet, n, B2
bunch, n, B2
burn, v, A2
burn, n, B2
bury, v, B1
bus, n, A1
bush, n, B2
business, n, A1
businessman, n, A2
busy, adj, A1
but, conj, A1
but, prep, B2
butter, n, A1
button, n, A2
buy, v, A1
by, prep, A1
by, adv, B1
bye, exclam, A1
cable, n, B1
cafe, n, A1
cake, n, A1
calculate, v, B2
call, v, A1
call, n, A1
calm, adj, B1
calm, v, B1
calm, n, B1
camera, n, A1
camp, n, A2
camp, v, A2
campaign, n, B1
campaign, v, B1
camping, n, A2
campus, n, A2
can, modal v, A1
can, n, A2
cancel, v, B2
cancer, n, B2
candidate, n, B1
candy, n, A2
cannot, v, A1
cap, n, B1
capable, adj, B2
capacity, n, B2
capital, n, A1
capital, adj, A1
captain, n, B1
capture, v, B2
capture, n, B2
car, n, A1
card, n, A1
care, n, A2
care, v, A2
career, n, A1
careful, adj, A2
carefully, adv, A2
careless, adj, A2
adj, adj, B1
carpet, n, A2
carrot, n, A1
carry, v, A1
cartoon, n, A2
case, n, A2
cash, n, A2
cast, n, B2
cat, n, A1
catch, v, A2
category, n, B1
cause, n, A2
CD, n, A1
ceiling, n, B1
celebrate, v, A2
celebration, n, B1
celebrity, n, A2
cell, n, A2
cent, n, A1
center, n, A1
center, v, B1
central, adj, B1
century, n, A2
ceremony, n, B1
certain, adj, A2
certainly, adv, A2
chain, n, B1
chain, v, B2
chair, n, A1
chair, v, B2
chairman, n, B2
challenge, n, B1
challenge, v, B2
champion, n, B1
chance, n, A2
change, v, A1
change, n, A1
channel, n, B1
chapter, n, B1
character, n, A2
characteristic, n, B2
characteristic, adj, B2
charge, n, B1
charge, v, B1
charity, n, A2
chart, n, A1
chart, v, B2
chat, v, A2
chat, n, A2
cheap, adj, A1
cheap, adv, B1
cheat, v, B1
cheat, n, B1
check, v, A1
check, n, A2
cheerful, adj, B1
cheese, n, A1
chef, n, A2
chemical, adj, B1
chemical, n, B1
chemistry, n, A2
chest, n, B1
chicken, n, A1
chief, adj, B2
chief, n, B2
child, n, A1
childhood, n, A1
chip, n, A2
chocolate, n, A1
choice, n, A2
choose, v, A1
church, n, A2
cigarette, n, A2
circle, n, A2
circle, v, A2
circumstance, n, B2
cite, v, B2
citizen, n, B2
city, n, A1
civil, adj, B2
claim, v, B1
claim, n, B1
class, n, A1
classic, adj, B2
classic, n, B2
classical, adj, A2
classroom, n, A1
clause, n, B1
clean, adj, A1
clean, v, A1
clear, adj, A2
clear, v, B1
clearly, adv, A2
clerk, n, A2
clever, adj, B1
click, v, B1
click, n, B1
client, n, B1
climate, n, A2
climb, v, A1
climb, n, B1
clock, n, A1
close, v, A1
close, n, B2
closed, adj, A2
closely, adv, B2
closet, n, A2
cloth, n, B1
clothes, n, A1
clothing, n, A2
cloud, n, A2
club, n, A1
clue, n, B1
coach, n, A2
coach, v, B1
coal, n, B1
coast, n, A2
coat, n, A1
code, n, A2
coffee, n, A1
coin, n, B1
cold, adj, A1
cold, n, A1
collapse, v, B2
collapse, n, B2
colleague, n, A2
collect, v, A2
collection, n, B1
college, n, A1
color, n, A1
colored, adj, B1
column, n, B1
combination, n, B2  
combine, v, B1  
come, v, A1  
comedy, n, A2  
comfort, n, B2  
comfortable, adj, A2  
command, n, B2  
comment, n, A2  
comment, v, B1  
commercial, adj, B1  
commercial, n, B1  
commission, n, B2  
commission, v, B2  
commit, v, B1  
commitment, n, B2  
committee, n, B2  
common, adj, A1  
commonly, adv, B2  
communicate, v, A2  
communication, n, B1  
community, n, A2  
company, n, A1  
compare, v, A1  
comparison, n, B1  
compete, v, A2  
competition, n, A2  
competitive, adj, B1  
competitor, n, B1  
complain, v, A2  
complaint, n, B1  
complete, adj, A1  
completely, adv, A2  
complex, adj, B1  
complex, n, B2  
complicated, adj, B2  
component, n, B2  
could, modal v, A1  
death, n, A2  
differently, adv, A2  
concentrate, v, B1  
debate, n, B2  
debate, v, B2  
difficult, adj, A1  
concentration, n, B2  
debt, n, B2  
difficulty, n, B1  
concept, n, B2  
decant, v, B2
adj, adj, B2
dig, v, B2
digital, adj, A2
concern, n, B2
decree, n, B1
dinner, n, A1
concerned, adj, B2
direct, adj, A2
direct, v, B1
directly, adv, B1
concert, n, A1
descent, adj, B2
direction, n, A2
conclude, v, B1
decide, v, A1
director, n, A2
condition, n, A2
declare, v, B2
district, n, A1
conduct, v, B2
conduct, n, B2
decline, v, B2
decline, n, B2
dirt, n, B1
conference, n, A2
decorate, v, B2
dirty, adj, A1
confidence, n, B2
decoration, n, B2
disadvantage, n, B1
confident, adj, B1
decrease, v, B2
decrease, n, B2
disagree, v, A2
confirm, v, B1
deep, adj, A2
deeply, adv, B2
disappear, v, A2
conflict, n, B2
conflict, v, B2
deeply, adv, B2
disappointed, adj, B1
confuse, v, B1
defeat, v, B2
defeat, n, B2
disappointing, adj, B1
confused, adj, B1
defend, v, B2
disaster, n, A2
confusing, adj, B2
defense, n, B2
discipline, n, B2
consensus, n, B2
define, v, B1
discount, n, B1
discount, v, B2
congress, n, B2
definitely, adv, A2
discovery, n, A2
connect, v, A2
definition, n, B1
discuss, v, A1
connected, adj, A2
degree, n, A2
discussion, n, A2
connection, n, B1
delver, v, B1
dishonesty, adj, B2
conscious, adj, B2
deliberate, adj, B2
dish, n, A1
sequence, n, B1
delicately, adv, B2
dislike, v, B1
conservative, adj, B2
delicious, adj, A1
consideration, n, B2
deliver, v, B1
dislike, n, B1
consistent, v, B1
delivery, n, B2
dismiss, v, B2
constant, adj, B2
demand, n, B2
display, v, B2
constantly, adv, B2
demonstrate, v, B2
distance, n, A2
construct, v, B2
deny, v, B2
distribute, v, B2
construction, n, B2
department, n, A2
distribution, n, B2
consume, v, B1
departure, n, B1
district, n, B1
consumer, n, B1
depend, v, A2
divide, v, B1
divide, n, B2
contact, n, B1
despairing, adj, B2
division, n, B2
contain, v, A2
depth, n, B2
divorced, adj, A2
container, n, B1
do not, auxillary, A1
contemporary, adj, B2
describe, v, A1
doctor, n, A1
content, n, B1
description, n, A1
document, n, A2
document, v, B2
contest, n, B2
contest, v, B2
desert, n, A2
desert, v, B2
documentary, n, B1
context, n, A2
deserve, v, B2
dog, n, A1
continent, n, A2
cup, n, A1
dollar, n, A1
continue, v, A2
cupboard, n, B1
domestic, adj, B2
continuous, adj, B1
cure, v, B2
cure, n, B2
dominate, v, B2
contract, n, B2
contract, v, B2
curly, adj, A2
donate, v, B1
contrast, n, B1
contrast, v, B1
currency, n, B1
door, n, A1
contribute, v, B2
current, adj, B1
current, n, B2
double, adj, A2
double, det, A2
double, pron, A2
double, v, A2
double, adv, B1
contribution, n, B2
currently, adv, B1
doubt, n, B1
doubt, v, B1
control, n, A2
curtain, n, B1
down, adv, A1
down, prep, A1
convenient, adj, B1
cut, v, A1
cut, n, B1
download, v, A2
download, n, A2
conversation, n, A1
detail, n, A1
detail, v, B2
downtown, adv, A1
downtown, adj, A2
convert, v, B2
cycle, n, B2
detailed, adj, B2
downward, adj, B2
convince, v, B1
dairily, adj, A2
dozen, n, B2
cooked, adj, B2
damage, n, B1
draft, n, B2
cookie, n, A2
dance, n, A1
drag, v, B2
cooking, n, A1
dancer, n, A1
drama, n, A2
dramatic, adj, B2
cool, adj, A1
dancing, n, A1
draw, v, A1
copy, n, A2
danger, n, A2
dialogue, n, A1
drawing, n, A2
core, n, B2
dangerous, adj, A1
dream, n, A2
corn, n, B1
dark, adj, A1
diamond, n, B1
dress, n, A1
corner, n, A2
data, n, A2
diary, n, A2
dressed, adj, B1
corporate, adj, B2
date, n, A1
drink, n, A1
correct, adj, A1
daughter, n, A1
drive, v, A1
cost, n, A1
dead, adj, A2
cotton, n, B1
deal, v, A2
dear, adj, A1
different, adj, A1
drop, v, A2
drug, n, A2
drum, n, B1
drunk, adj, B1
dry, adj, A2
dry, v, A2
due, adj, B1
during, prep, A1
dust, n, B1
duty, n, B1
DVD, n, A1
each, det, A1
each, pron, A1
each, adv, A1
ear, n, A1
early, adj, A1
early, adv, A1
earn, v, A2
earth, n, A2
earthquake, n, B1
easily, adv, A2
east, n, A1
east, adj, A1
east, adv, A1
eastern, adj, B1
easy, adj, A1
eat, v, A1
economic, adj, B1
economy, n, B1
edge, n, B1
edit, v, B2
edition, n, B2
editor, n, B1
educate, v, B1
educated, adj, B1
education, n, A2
educational, adj, B1
effect, n, A2
effective, adj, B1
effectively, adv, B1
efficient, adj, B2
effort, n, B1
egg, n, A1
eight, number, A1
eighteen, number, A1
eighty, number, A1
either, det, A2
either, pron, A2
either, adv, A2
elderly, adj, B2
elect, v, B2
election, n, B1
electric, adj, A2
electrical, adj, A2
electricity, n, A2
electronic, adj, A2
element, n, B1
elephant, n, A1
elevator, n, A2
eleven, number, A1
else, adv, A1
elsewhere, adv, B2
email, n, A1
email, v, A1
embarrassed, adj, B1
embarrassing, adj, B1
emerge, v, B2
emergency, n, B1
emotion, n, B1
emotional, adj, B2
emphasis, n, B2
emphasize, v, B2
employ, v, A2
employee, n, A2
employer, n, A2
employment, n, B1
empty, adj, A2
empty, v, B1
enable, v, B2
encounter, v, B2
encounter, n, B2
encourage, v, B1
end, n, A1
end, v, A1
ending, n, A2
enemy, n, B1
energy, n, A2
engage, v, B2
engaged, adj, B1
engine, n, A2
engineer, n, A2
engineering, n, B1
enhance, v, B2
enjoy, v, A1
enormous, adj, A2
enough, det, A1
enough, pron, A1
enough, adv, A1
ensure, v, B2
enter, v, A2
entertain, v, B1
entertainment, n, B1
enthusiasm, n, B2
enthusiastic, adj, B2
entire, adj, B2
entirely, adv, B2
entrance, n, B1
entry, n, B1
environment, n, A2
environmental, adj, B1
episode, n, B1
equal, adj, B1
equal, v, B1
equal, n, B2
equally, adv, B1
equipment, n, A2
error, n, A2
escape, v, B1
escape, n, B1
especially, adv, A2
essay, n, A2
essential, adj, B1
establish, v, B2
estate, n, B2
estimate, v, B2
estimate, n, B2
ethical, adj, B2
euro, n, A1
evaluate, v, B2
even, adv, A1
even, adj, B2
evening, n, A1
event, n, A1
eventually, adv, B1
ever, adv, A1
every, det, A1
everybody, pron, A1
everyday, adj, A2
everyone, pron, A1
everything, pron, A1
everywhere, adv, A2
evidence, n, A2
evil, adj, B2
evil, n, B2
exact, adj, A2
exactly, adv, A2
exam, n, A1
examination, n, B2
examine, v, B1
example, n, A1
excellent, adj, B1
except, prep, A2
except, conj, B1
exchange, n, B1
exchange, v, B1
excited, adj, A1
excitement, n, B1
exciting, adj, A1
excuse, n, B2
excuse, v, B2
executive, n, B2
executive, adj, B2
exercise, n, A1
exercise, v, A1
exhibit, v, B2
exhibit, n, B2
exhibition, n, B1
exist, v, A2
existence, n, B2
exit, n, B1
exit, v, B2
expand, v, B1
expectation, n, B2
expected, adj, B1
expense, n, B2
expensive, adj, A1
experience, n, A2
experience, v, B1
experienced, adj, B1
experiment, n, A2
experiment, v, B1
expert, n, A2
expert, adj, A2
explain, v, A1
explanation, n, A2
explode, v, B1
exploration, n, B2
explore, v, B1
explosion, n, B1
export, n, B1
export, v, B1
expose, v, B2
express, v, A2
expression, n, A2
extend, v, B2
extent, n, B2
external, adj, B2
extra, adj, A1
extra, n, B1
extra, adv, B1
extraordinary, adj, B2
extreme, adj, A2
extreme, n, B2
extremely, adv, A2
eye, n, A1
face, n, A1
abandon, v, B2
ability, n, A2
facility, n, B2
fact, n, A1
factor, n, A2
factory, n, A2
fail, v, A2
failure, n, B2
fair, adj, A2
fairly, adv, B1
faith, n, B2
fall, v, A1
fall, n, A1
false, adj, A1
familiar, adj, B1
family, n, A1
family, adj, A1
famous, adj, A1
fan, n, A2
fantasy, adj, B1
far, adv, A1
far, adj, B1
farm, n, A1
farm, v, A2
farmer, n, A1
farming, n, A2
fascinating, adj, B1
fashion, n, A2
fashionable, adj, B1
fast, adj, A1
fast, adv, A1
fasten, v, B1
fat, adj, A1
fat, n, A2
father, n, A1
fault, n, B2
favor, n, B1
favor, v, B2
favorite, adj, A1
favorite, n, A1
fear, n, A2
fear, v, B1
feather, n, B2
feature, n, A2
feature, v, B1
February, n, A1
federal, adj, B1
fee, n, B2
feed, v, A2
feed, n, B2
feedback, n, B2
feel, v, A1
feel, n, B2
feeling, n, A1
fellow, adj, B2
female, adj, A2
female, n, A2
fence, n, B1
festival, n, A1
fewer, n, A2
few, adj, A2
det., pron., A1
fiction, n, A2
field, n, A2
fifteen, number, A1
fifth, number, A1
fifty, number, A1
fight, v, A2
fighting, n, B1
figure, n, A2
figure, v, B2
file, n, B1
file, v, B2
fill, v, A1
film, n, A2
film, v, A2
final, adj, A1
final, n, A2
finally, adv, A2
finance, n, B2
finance, v, B2
financial, adj, B1
find, v, A1
finding, n, B2
fine, adj, A1
finger, n, A2
finish, v, A1
finish, n, A2
fire, n, A1
fire, v, A2
firm, n, B2
first, det./number, A1
first, adv, A1
first, n, A2
fish, n, A1
fish, v, A2
fishing, n, A2
fit, v, A2
fit, adj, A2
fitness, n, B1
five, number, A1
fix, v, A2
fix, n, B2
fixed, adj, B1
flag, n, B1
flame, n, B2
flash, n, B2
flash, v, B2
flat, adj, A2
flexible, adj, B2
flight, n, A1
float, v, B2
floor, n, A1
flow, v, B1
flow, n, B1
flower, n, A1
flu, n, A2
fly, v, A1
fly, n, A2
flying, n, A2
flying, adj, A2
focus, v, A2
focus, n, A2
fold, v, A2
folding, adj, B2
folk, n, B1
folk, adj, B1
follow, v, A1
following, adj, A2
following, n, B1
following, prep, B2
food, n, A1
foot, n, A1
football, n, A1
for, prep, A1
force, n, B1
force, v, B1
foreign, adj, A2
forest, n, A2
forever, adv, B1
forget, v, A1
forgive, v, B2
gift, n, A2
head, n, A1
head, v, B1
humorous, adj, B2
hundred, number, A1
fork, n, A1
girl, n, A1
headache, n, A2
hungry, adj, A1
form, n, A1
form, v, A1
girlfriend, n, A1
headline, n, B1
hunt, v, B1
hunt, n, B2
formal, adj, A2
give, v, A1
healthy, adj, A1
former, adj, B2
glad, adj, B1
hear, v, A1
forty, number, A1
forward, adv, A2
forward, adj, B2
glove, n, B1
heart, n, A2
hurt, v, A2
hurt, adj, A2
hurt, n, B2
found, v, B2
god, n, A2
heaven, n, B2
ice cream, n, A1
four, number, A1
gold, n, A2
gold, adj, A2
heavily, adv, B1
fourth, number, A1
golf, n, B1
abandon, v, B2
ability, n, A2
heavy, adj, A2
frame, n, B1
good, adj, A1
good, n, A2
heel, n, B2
free, adj, A1
free, adv, A2
free, v, B2
goodbye, exclamation, A1
frequency, n, B2
goods, n, B2
govern, v, B2
government, n, A2
governor, n, B2
grab, v, B2
grade, n, B1
grade, v, B2
gradually, adv, B2
graduate, n, B1
graduate, v, B1
grain, n, B1
grand, adj, B2
grandfather, n, A1
grandmother, n, A1
grandparent, n, A1
grant, v, B2
grant, n, B2
grass, n, A2
grateful, adj, B1
gray, adj, A1
gray, n, A1
great, adj, A1
green, adj, A1
green, n, A1
greet, v, A2
grocery, n, A2
ground, n, A2
group, n, A1
grow, v, A1
growth, n, B1
guarantee, v, B2
guarantee, n, B2
funny, adj, A1
guard, n, B1
guard, v, B1
fur, n, B1
guess, v, A1
guess, n, A1
furniture, n, A2
guest, n, A2
further, adj, A2
further, adv, B1
guide, n, A2
guide, v, A2
furthermore, adv, B2
guilty, adj, B1
future, n, A1
future, adj, A2
guitar, n, A1
gain, v, B2
gain, n, B2
gun, n, A2
gallery, n, A2
guy, n, A2
game, n, A1
gym, n, A1
gang, n, B2
habit, n, A2
gap, n, A2
hair, n, A1
garage, n, B1
half, det./pron., A1
half, adv., A2
garbage, n, A2
hall, n, A2
garden, n, A1
hand, n, A1
hand, v, B1
gas, n, A2
handle, v, B2
handle, n, B2
gate, n, A2
hang, v, B1
gather, v, B1
happen, v, A1
general, adj, A2
happily, adv, A2
generally, adv, B1
happiness, n, B1
generate, v, B2
happy, adj, A1
generation, n, B1
hard, adj, A1
hard, adv, A1
generous, adj, B1
hardly, adv, B1
genre, n, B2
harm, n, B2
harm, v, B2
gentle, adj, B1
harmful, adj, B2
gentleman, n, B1
hat, n, A1
headache, n, A2
hearing, n, B2
heart, n, A2
heat, n, A2
heat, v, A2
heating, n, B1
heaven, n, B2
ice cream, n, A1
ideal, adj, A2
ideal, n, B2
identify, v, A2
identity, n, B1
if, conj, A1
ignore, v, B1
ill, adj, A2
illegal, adj, B1
illness, n, A2
giant, adj, B1
giant, n, B1
illustrate, v, B2
illusion, n, B2
image, n, A2
imaginary, adj, B1
imagination, n, B2
imagine, v, A1
immediate, adj, B1
immediately, adv, A2
immigrant, n, B1
impact, n, B1
impact, v, B1
impatient, adj, B2
imply, v, B2
import, n, B1
import, v, B1
importance, n, B1
important, adj, A1
impose, v, B2
impossible, adj, A2
impress, v, B2
impressed, adj, B2
impression, n, B1
impressive, adj, B1
improve, v, A1
improvement, n, B1
in, prep, A1
inch, n, B2
incident, n, B2
include, v, A1
included, adj, A2
including, prep, A2
income, n, B2
increase, v, A2
increase, n, A2
increasingly, adv, B2
incredible, adj, A2
incredibly, adv, B1
indeed, adv, B1
independent, adj, A2
indicate, v, B1
indirect, adj, B1
individual, n, A2
individual, adj, A2
indoor, adj, B1
indoors, adv, B1
industrial, adj, B2
industry, n, A2
infection, n, B2
influence, n, B1
influence, v, B1
inform, v, B2
informal, adj, A2
information, n, A2
initial, adj, B2
journey, n, B1
left, adj, A1
left, adv, A1
left, n, A1
machine, n, A1
initially, adv, B2
joy, n, B2
leg, n, A1
mad, adj, B1
magazine, n, A1
initiative, n, B2
judge, n, B1
judge, v, B1
legal, adj, B1
magic, n, B1
magic, adj, B1
injure, v, B1
judgment, n, B2
leisure, n, B1
mail, n, A2
mail, v, A2
main, adj, A1
mainly, adv, B1
maintain, v, B2
major, adj, A2
major, n, B2
majority, n, B2
make, v, A1
make, n, B2
male, adj, A2
male, n, A2
mall, n, A1
man, n, A1
manage, v, A2
management, n, B1
manager, n, A2
manner, n, A2
many, det/pron, A1
map, n, A1
map, v, B2
March, n, A1
mark, v, A2
mark, n, A2
market, n, A1
market, v, B1
marketing, n, B1
marriage, n, B1
married, adj, A1
marry, v, A2
mass, n, B2
mass, adj, B2
massive, adj, B2
master, n, B2
master, v, B2
match, n, B2
match, v, B2
matching, adj, B2
material, n, A2
material, adj, B2
math, n, A2
mathematics, n, A2
matter, n, A2
matter, v, A2
maximum, adj, B2
maximum, n, B2
May, n, A1
may, modal v, A2
maybe, adv, A1
mayor, n, A2
me, pron, A1
meal, n, A1
mean, v, A1
meaning, n, A1
means, n, B2
meanwhile, adv, B1
measure, v, B1
measure, n, B1
measurement, n, B2
meat, n, A1
media, n, A2
medical, adj, A2
medicine, n, A2
medium, adj, B1
medium, n, B2
meet, v, A1
meeting, n, A1
melt, v, B2
member, n, A1
memory, n, A2
mental, adj, B1
mention, v, A2
mention, n, B1
menu, n, A1
mess, n, B1
mess, v, B1
message, n, A1
metal, n, A2
meter, n, A1
method, n, A2
middle, n, A2
middle, adj, A2
midnight, n, A1
less, det/pron, A2
less, adv, A2
let, v, A1
lemon, n, A2
lend, v, A2
length, n, B1
lesson, n, A1
let, v, A1
letter, n, A1
level, n, A2
level, adj, B1
level, v, B2
library, n, A1
license, n, B2
lie, v, A1
life, v, B1  
life, n, A1  
lifestyle, n, A2  
lift, v, A2  
light, n, A1  
light, adj, A1  
light, v, A2  
like, prep, A1  
like, v, A1  
like, n, B1  
likely, adj, A2  
limit, n, B1  
limit, v, B1  
limited, adj, B2  
line, n, A1  
line, v, B2  
link, n, A2  
link, v, A2  
lion, n, A1  
lip, n, B1  
liquid, n, B1  
liquid, adj, B1  
list, n, A1  
list, v, A1  
listen, v, A1  
listener, n, A2  
literature, n, B1  
little, adj, A1  
little, det, A1  
little, pron, A1  
little, adv, A2  
live, v, A1  
live, adj, B1  
live, adv, B1  
lively, adj, B2  
living, adj, B1  
living, n, B1  
load, n, B2  
load, v, B2  
loan, n, B2  
local, adj, A1  
local, n, B1  
locate, v, B1  
located, adj, B1  
location, n, B1  
lock, v, A2  
lock, n, A2  
logical, adj, B2  
lonely, adj, B1  
long, adj, A1  
long, adv, A1  
long-term, adj, B2  
long-term, adv, B2  
look, v, A1  
look, n, A2  
loose, adj, B2  
lord, n, B2  
lose, v, A1  
loss, n, B1  
lost, adj, A2  
lot, pron, A1  
lot, det, A1  
lot, adv, A1  
loud, adj, A2  
loud, adv, A2  
loudly, adv, A2  
love, n, A1  
love, v, A1  
low, adj, B1
adj., adv. A2, n. B2 lower v. B2 luck n. A2 lucky adj. A2 lunch n. A1 lung n. B2 luxury n. B1
might modal v. A2 national adj. A2, n. B2 occasionally adv. B2
mild adj. B1 native adj., n. B1 occur v. B1 own adj./pron. A1, v. A2
military adj., n. B2 naturally adv. B1 o'clock adv. A1 pace n., v. B2 pack v. A2, n. B1
million number A1 nearly adv. A2 package n. B1, v. B2
mind n., v. A2 near prep., adj., adv. A1 odd adj. B1 page n. A1
painful, adj, B1
paint, v, A1
paint, n, A1
